time,label,etof,hectares
2021-06-07,1,0.351,0.297
2021-06-07,1,0.483,0.297
2021-06-07,1,0.278,0.594
2021-06-07,1,0.34,0.591
2021-06-07,1,0.376,0.664
2021-06-07,1,0.277,0.735
2021-06-07,1,0.586,0.741
2021-06-07,1,0.235,1.631
2021-06-07,1,0.637,2.504
2021-06-07,1,0.393,3.184
2021-06-07,1,0.347,3.184
2021-06-07,1,0.257,3.629
2021-06-07,1,0.353,3.631
2021-06-07,1,0.235,5.545
2021-06-07,1,0.288,6.299
2021-06-07,1,0.238,6.523
2021-06-07,1,0.355,11.784
2021-06-07,1,0.328,17.183
2021-06-07,1,0.272,30.227
2021-06-07,1,0.564,39.675
2021-06-07,1,0.406,92.698
2021-06-08,1,0.341,0.297
2021-06-08,1,0.497,0.297
2021-06-08,1,0.284,0.594
2021-06-08,1,0.359,0.591
2021-06-08,1,0.278,0.664
2021-06-08,1,0.252,0.735
2021-06-08,1,0.481,0.741
2021-06-08,1,0.292,1.631
2021-06-08,1,0.646,2.504
2021-06-08,1,0.359,3.184
2021-06-08,1,0.377,3.184
2021-06-08,1,0.274,3.629
2021-06-08,1,0.399,3.631
2021-06-08,1,0.226,5.545
2021-06-08,1,0.317,6.299
2021-06-08,1,0.209,6.523
2021-06-08,1,0.36,11.784
2021-06-08,1,0.325,17.183
2021-06-08,1,0.219,30.227
2021-06-08,1,0.586,39.675
2021-06-08,1,0.398,92.698
2021-06-09,1,0.441,0.297
2021-06-09,1,0.517,0.297
2021-06-09,1,0.315,0.594
2021-06-09,1,0.345,0.591
2021-06-09,1,0.307,0.664
2021-06-09,1,0.287,0.735
2021-06-09,1,0.518,0.741
2021-06-09,1,0.281,1.631
2021-06-09,1,0.631,2.504
2021-06-09,1,0.359,3.184
2021-06-09,1,0.336,3.184
2021-06-09,1,0.326,3.629
2021-06-09,1,0.693,3.631
2021-06-09,1,0.301,5.545
2021-06-09,1,0.306,6.299
2021-06-09,1,0.384,6.523
2021-06-09,1,0.398,11.784
2021-06-09,1,0.337,17.183
2021-06-09,1,0.485,30.227
2021-06-09,1,0.556,39.675
2021-06-09,1,0.416,92.698
2021-06-10,1,0.4,0.297
2021-06-10,1,0.517,0.297
2021-06-10,1,0.315,0.594
2021-06-10,1,0.345,0.591
2021-06-10,1,0.307,0.664
2021-06-10,1,0.287,0.735
2021-06-10,1,0.564,0.741
2021-06-10,1,0.281,1.631
2021-06-10,1,0.631,2.504
2021-06-10,1,0.359,3.184
2021-06-10,1,0.336,3.184
2021-06-10,1,0.275,3.629
2021-06-10,1,0.554,3.631
2021-06-10,1,0.274,5.545
2021-06-10,1,0.306,6.299
2021-06-10,1,0.295,6.523
2021-06-10,1,0.389,11.784
2021-06-10,1,0.337,17.183
2021-06-10,1,0.351,30.227
2021-06-10,1,0.556,39.675
2021-06-10,1,0.416,92.698
2021-06-11,1,0.4,0.297
2021-06-11,1,0.517,0.297
2021-06-11,1,0.315,0.594
2021-06-11,1,0.345,0.591
2021-06-11,1,0.307,0.664
2021-06-11,1,0.287,0.735
2021-06-11,1,0.564,0.741
2021-06-11,1,0.281,1.631
2021-06-11,1,0.631,2.504
2021-06-11,1,0.359,3.184
2021-06-11,1,0.336,3.184
2021-06-11,1,0.275,3.629
2021-06-11,1,0.554,3.631
2021-06-11,1,0.274,5.545
2021-06-11,1,0.306,6.299
2021-06-11,1,0.295,6.523
2021-06-11,1,0.389,11.784
2021-06-11,1,0.337,17.183
2021-06-11,1,0.351,30.227
2021-06-11,1,0.556,39.675
2021-06-11,1,0.416,92.698
2021-06-12,1,0.4,0.297
2021-06-12,1,0.517,0.297
2021-06-12,1,0.315,0.594
2021-06-12,1,0.345,0.591
2021-06-12,1,0.307,0.664
2021-06-12,1,0.287,0.735
2021-06-12,1,0.564,0.741
2021-06-12,1,0.281,1.631
2021-06-12,1,0.631,2.504
2021-06-12,1,0.359,3.184
2021-06-12,1,0.336,3.184
2021-06-12,1,0.275,3.629
2021-06-12,1,0.554,3.631
2021-06-12,1,0.274,5.545
2021-06-12,1,0.306,6.299
2021-06-12,1,0.295,6.523
2021-06-12,1,0.389,11.784
2021-06-12,1,0.337,17.183
2021-06-12,1,0.351,30.227
2021-06-12,1,0.556,39.675
2021-06-12,1,0.416,92.698
2021-06-13,1,0.4,0.297
2021-06-13,1,0.517,0.297
2021-06-13,1,0.315,0.594
2021-06-13,1,0.345,0.591
2021-06-13,1,0.307,0.664
2021-06-13,1,0.287,0.735
2021-06-13,1,0.564,0.741
2021-06-13,1,0.281,1.631
2021-06-13,1,0.631,2.504
2021-06-13,1,0.359,3.184
2021-06-13,1,0.336,3.184
2021-06-13,1,0.275,3.629
2021-06-13,1,0.554,3.631
2021-06-13,1,0.274,5.545
2021-06-13,1,0.306,6.299
2021-06-13,1,0.295,6.523
2021-06-13,1,0.389,11.784
2021-06-13,1,0.337,17.183
2021-06-13,1,0.351,30.227
2021-06-13,1,0.556,39.675
2021-06-13,1,0.416,92.698
2021-06-14,1,0.4,0.297
2021-06-14,1,0.517,0.297
2021-06-14,1,0.315,0.594
2021-06-14,1,0.345,0.591
2021-06-14,1,0.307,0.664
2021-06-14,1,0.287,0.735
2021-06-14,1,0.564,0.741
2021-06-14,1,0.281,1.631
2021-06-14,1,0.631,2.504
2021-06-14,1,0.359,3.184
2021-06-14,1,0.336,3.184
2021-06-14,1,0.275,3.629
2021-06-14,1,0.554,3.631
2021-06-14,1,0.274,5.545
2021-06-14,1,0.306,6.299
2021-06-14,1,0.295,6.523
2021-06-14,1,0.389,11.784
2021-06-14,1,0.337,17.183
2021-06-14,1,0.351,30.227
2021-06-14,1,0.556,39.675
2021-06-14,1,0.416,92.698
2021-06-15,1,0.4,0.297
2021-06-15,1,0.517,0.297
2021-06-15,1,0.315,0.594
2021-06-15,1,0.345,0.591
2021-06-15,1,0.307,0.664
2021-06-15,1,0.287,0.735
2021-06-15,1,0.564,0.741
2021-06-15,1,0.281,1.631
2021-06-15,1,0.631,2.504
2021-06-15,1,0.359,3.184
2021-06-15,1,0.336,3.184
2021-06-15,1,0.275,3.629
2021-06-15,1,0.554,3.631
2021-06-15,1,0.274,5.545
2021-06-15,1,0.306,6.299
2021-06-15,1,0.295,6.523
2021-06-15,1,0.389,11.784
2021-06-15,1,0.337,17.183
2021-06-15,1,0.351,30.227
2021-06-15,1,0.556,39.675
2021-06-15,1,0.416,92.698
2021-06-16,1,0.358,0.297
2021-06-16,1,0.536,0.297
2021-06-16,1,0.345,0.594
2021-06-16,1,0.345,0.591
2021-06-16,1,0.307,0.664
2021-06-16,1,0.322,0.735
2021-06-16,1,0.564,0.741
2021-06-16,1,0.27,1.631
2021-06-16,1,0.617,2.504
2021-06-16,1,0.371,3.184
2021-06-16,1,0.309,3.184
2021-06-16,1,0.25,3.629
2021-06-16,1,0.427,3.631
2021-06-16,1,0.269,5.545
2021-06-16,1,0.294,6.299
2021-06-16,1,0.227,6.523
2021-06-16,1,0.398,11.784
2021-06-16,1,0.348,17.183
2021-06-16,1,0.304,30.227
2021-06-16,1,0.549,39.675
2021-06-16,1,0.433,92.698
2021-06-17,1,0.276,0.297
2021-06-17,1,0.493,0.297
2021-06-17,1,0.364,0.594
2021-06-17,1,0.331,0.591
2021-06-17,1,0.307,0.664
2021-06-17,1,0.217,0.735
2021-06-17,1,0.564,0.741
2021-06-17,1,0.256,1.631
2021-06-17,1,0.525,2.504
2021-06-17,1,0.353,3.184
2021-06-17,1,0.317,3.184
2021-06-17,1,0.21,3.629
2021-06-17,1,0.357,3.631
2021-06-17,1,0.251,5.545
2021-06-17,1,0.302,6.299
2021-06-17,1,0.226,6.523
2021-06-17,1,0.387,11.784
2021-06-17,1,0.299,17.183
2021-06-17,1,0.257,30.227
2021-06-17,1,0.483,39.675
2021-06-17,1,0.418,92.698
2021-06-18,1,0.276,0.297
2021-06-18,1,0.493,0.297
2021-06-18,1,0.364,0.594
2021-06-18,1,0.34,0.591
2021-06-18,1,0.307,0.664
2021-06-18,1,0.217,0.735
2021-06-18,1,0.564,0.741
2021-06-18,1,0.235,1.631
2021-06-18,1,0.434,2.504
2021-06-18,1,0.353,3.184
2021-06-18,1,0.285,3.184
2021-06-18,1,0.21,3.629
2021-06-18,1,0.407,3.631
2021-06-18,1,0.251,5.545
2021-06-18,1,0.263,6.299
2021-06-18,1,0.226,6.523
2021-06-18,1,0.387,11.784
2021-06-18,1,0.299,17.183
2021-06-18,1,0.257,30.227
2021-06-18,1,0.441,39.675
2021-06-18,1,0.418,92.698
2021-06-19,1,0.276,0.297
2021-06-19,1,0.493,0.297
2021-06-19,1,0.364,0.594
2021-06-19,1,0.34,0.591
2021-06-19,1,0.307,0.664
2021-06-19,1,0.217,0.735
2021-06-19,1,0.564,0.741
2021-06-19,1,0.235,1.631
2021-06-19,1,0.434,2.504
2021-06-19,1,0.353,3.184
2021-06-19,1,0.285,3.184
2021-06-19,1,0.21,3.629
2021-06-19,1,0.407,3.631
2021-06-19,1,0.251,5.545
2021-06-19,1,0.263,6.299
2021-06-19,1,0.226,6.523
2021-06-19,1,0.387,11.784
2021-06-19,1,0.299,17.183
2021-06-19,1,0.257,30.227
2021-06-19,1,0.441,39.675
2021-06-19,1,0.418,92.698
2021-06-20,1,0.276,0.297
2021-06-20,1,0.493,0.297
2021-06-20,1,0.364,0.594
2021-06-20,1,0.34,0.591
2021-06-20,1,0.307,0.664
2021-06-20,1,0.217,0.735
2021-06-20,1,0.564,0.741
2021-06-20,1,0.235,1.631
2021-06-20,1,0.434,2.504
2021-06-20,1,0.353,3.184
2021-06-20,1,0.285,3.184
2021-06-20,1,0.21,3.629
2021-06-20,1,0.407,3.631
2021-06-20,1,0.251,5.545
2021-06-20,1,0.263,6.299
2021-06-20,1,0.226,6.523
2021-06-20,1,0.387,11.784
2021-06-20,1,0.299,17.183
2021-06-20,1,0.257,30.227
2021-06-20,1,0.441,39.675
2021-06-20,1,0.418,92.698
2021-06-21,1,0.276,0.297
2021-06-21,1,0.493,0.297
2021-06-21,1,0.364,0.594
2021-06-21,1,0.34,0.591
2021-06-21,1,0.307,0.664
2021-06-21,1,0.217,0.735
2021-06-21,1,0.564,0.741
2021-06-21,1,0.235,1.631
2021-06-21,1,0.434,2.504
2021-06-21,1,0.353,3.184
2021-06-21,1,0.285,3.184
2021-06-21,1,0.21,3.629
2021-06-21,1,0.407,3.631
2021-06-21,1,0.251,5.545
2021-06-21,1,0.263,6.299
